artist_id,artist
1,21 Savage
2,5 Seconds of Summer
3,"6ix9ine, Nicki Minaj & Murda Beatz"
4,A Great Big World & Christina Aguilera
5,Adam Lambert
6,Adele
7,Alan Walker
8,Alessia Cara
9,Aloe Blacc
10,American Authors
11,Andreas Bourani
12,Andy Grammer
13,Ariana Grande
14,Ariana Grande & Iggy Azalea
15,Ariana Grande & Nicki Minaj
16,Ariana Grande & Zedd
17,Avicii
18,Axwell L Ingrosso
19,Ayo & Teo
20,Bastille
21,Bazzi
22,Bebe Rexha & Florida Georgia Line
23,Becky G
24,"Benny Blanco, Halsey & Khalid"
25,Beyonce
26,Beyonce & Jay-Z
27,Big Sean
28,Big Sean & E-40
29,BlocBoy JB & Drake
30,Bobby Shmurda
31,Brantley Gilbert
32,Brett Young
33,Bruno Mars
34,Bruno Mars & Cardi B
35,Bryson Tiller
36,Burak Yeter & Danelle Sandoval
37,Calvin Harris
38,Calvin Harris & Disciples
39,Calvin Harris & Dua Lipa
40,Calvin Harris & Ellie Goulding
41,Calvin Harris & John Newman
42,Calvin Harris & Sam Smith
43,"Calvin Harris, Frank Ocean & Migos"
44,"Calvin Harris, Pharrell Williams, Katy Perry & Big Sean"
45,Camila Cabello
46,Camila Cabello & Young Thug
47,Cardi B
48,Cardi B & 21 Savage
49,"Cardi B, Bad Bunny & J Balvin"
50,Carly Rae Jepsen
51,Charli XCX
52,Charlie Puth
53,Charlie Puth & Meghan Trainor
54,Charlie Puth & Selena Gomez
55,Cheat Codes & Demi Lovato
56,Childish Gambino
57,Chris Brown & Lil' Wayne
58,Chris Brown & Tyga
59,Clean Bandit & Demi Lovato
60,Clean Bandit & Jess Glynne
61,Clean Bandit & Zara Larsson
62,"Clean Bandit, Sean Paul & Anne-Marie"
63,Coldplay
64,DJ Khaled & Drake
65,"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil' Wayne"
66,"DJ Khaled, Rihanna & Bryson Tiller"
67,DJ Snake & AlunaGeorge
68,DJ Snake & Bipolar Sunshine
69,DJ Snake & Justin Bieber
70,DJ Snake & Lil' Jon
71,"DJ Snake, Selena Gomez, Ozuna & Cardi B"
72,DNCE
73,DRAM & Lil Yachty
74,Daddy Yankee
75,Dan & Shay
76,David Guetta & Justin Bieber
77,David Guetta & Sam Martin
78,David Guetta & Sia
79,David Guetta & Zara Larsson
80,"David Guetta, Nicki Minaj & Afrojack"
81,Dean Lewis
82,Demi Lovato
83,Dennis Lloyd
84,Desiigner
85,Disclosure & Sam Smith
86,Disturbed
87,Drake
88,Drake & Future
89,Drake & Majid Jordan
90,Drake & The Throne
91,"Drake, WizKid & Kyla"
92,Dua Lipa
93,Dynoro & Gigi D'Agostino
94,Echosmith
95,Ed Sheeran
96,El Profesor
97,Ella Henderson
98,Ella Mai
99,Elle King
100,Ellie Goulding
101,Eminem & Ed Sheeran
102,Enrique Iglesias
103,Enrique Iglesias & Wisin
104,Fall Out Boy
105,Faul & Wad Ad vs. Pnau
106,Feder & Lyse
107,Felix Jaehn & Jasmine Thompson
108,Fetty Wap
109,Fetty Wap & Monty
110,Fetty Wap & Remy Boyz
111,Fifth Harmony & Fetty Wap
112,Fifth Harmony & Kid Ink
113,Fifth Harmony & Ty Dolla Sign
114,Flo-Rida
115,Flo-Rida & Sage The Gemini
116,"Flo-Rida, Robin Thicke & Verdine White"
117,Florida Georgia Line
118,Flume & Kai
119,French Montana & Swae Lee
120,Future
121,Future & The Weeknd
122,G-Eazy & ASAP Rocky & Cardi B
123,G-Eazy & Bebe Rexha
124,G-Eazy & Halsey
125,Galantis
126,George Ezra
127,Gnash & Olivia O'Brien
128,Hailee Steinfeld & Grey
129,Halsey
130,Harry Styles
131,Helene Fischer
132,Hozier
133,Idina Menzel
134,Iggy Azalea & Charli XCX
135,Iggy Azalea & Rita Ora
136,Imagine Dragons
137,Imany
138,J Balvin & Willy William
139,J Balvin & Willy William & Beyonce
140,James Arthur
141,James Bay
142,James Newton Howard & Jennifer Lawrence
143,Jason Derulo
144,Jason Derulo & 2 Chainz
145,Jason Derulo & Snoop Dogg
146,"Jason Derulo, Nicki Minaj & Ty Dolla Sign"
147,Jax Jones & RAYE
148,Jennifer Lopez
149,Jeremih
150,Jeremih & YG
151,Jess Glynne
152,"Jessie J, Nicki Minaj & Ariana Grande"
153,John Legend
154,John Newman
155,Jon Bellion
156,Jonas Blue
157,Jonas Blue & William Singe
158,"Jonas Blue, Jack & Jack"
159,Juice WRLD
160,Julia Michaels
161,Justin Bieber
162,Justin Bieber & BloodPop
163,Justin Timberlake
164,Justin Timberlake & Chris Stapleton
165,Kane Brown
166,Kanye West & Lil Pump
167,Katy Perry
168,Katy Perry & Skip Marley
169,Ke$ha
170,Keala Settle & The Greatest Showman Ensemble
171,Kelly Clarkson
172,Kendrick Lamar
173,Kendrick Lamar & Rihanna
174,Kendrick Lamar & SZA
175,Kent Jones
176,Kevin Gates
177,Khalid
178,Khalid & Normani
179,Kid Ink & Chris Brown
180,Kiesza
181,Kiiara
182,Klingande
183,Kodak Black
184,"Kodak Black, Travi$ Scott & Offset"
185,Kungs & Cookin' On 3 Burners
186,Kygo & Conrad
187,Kygo & Parson James
188,Kygo & Selena Gomez
189,Kyle & Lil Yachty
190,Lady Gaga & Bradley Cooper
191,Lauy
192,Liam Payne & Quavo
193,Liam Payne & Rita Ora
194,Lil Baby & Drake
195,Lil Baby & Gunna
196,Lil Dicky & Chris Brown
197,Lil Pump
198,Lil Uzi Vert
199,"Lil' Wayne, Wiz Khalifa & Imagine Dragons"
200,Lilly Wood & The Prick & Robin Schulz
201,Little Big Town
202,"Logic, Alessia Cara & Khalid"
203,Lorde
204,Lost Frequencies
205,Lost Frequencies & Janieck Devy
206,Loud Luxury & Brando
207,Luis Fonsi & Daddy Yankee
208,Luis Fonsi & Demi Lovato
209,Lukas Graham
210,MKTO
211,Machine Gun Kelly & Camila Cabello
212,Macklemore & Ryan Lewis
213,Macklemore & Skylar Grey
214,Magic!
215,Major Lazer & DJ Snake
216,"Major Lazer, Justin Bieber & MO"
217,"Major Lazer, Nyla & Fuse ODG"
218,Mark Forster & Sido
219,Mark Ronson & Bruno Mars
220,Maroon 5
221,Maroon 5 & Cardi B
222,Maroon 5 & Future
223,Maroon 5 & Kendrick Lamar
224,Maroon 5 & SZA
225,Marshmello & Anne-Marie
226,Marshmello & Bastille
227,Marshmello & Khalid
228,Martin Garrix
229,Martin Garrix & Bebe Rexha
230,Martin Garrix & Dua Lipa
231,Matt Simons
232,Meghan Trainor
233,Meghan Trainor & John Legend
234,Michael Jackson & Justin Timberlake
235,Migos
236,Migos & Drake
237,Migos & Lil Uzi Vert
238,"Migos, Nicki Minaj & Cardi B"
239,Mike Perry & Shy Martin
240,Mike Posner
241,Miley Cyrus
242,Milky Chance
243,Mr Probz
244,NF
245,Natalie La Rose & Jeremih
246,Naughty Boy & Sam Smith
247,Niall Horan
248,Nick Jonas
249,Nick Jonas & Tove Lo
250,Nicki Minaj
251,Nicky Jam & Enrique Iglesias
252,Nicky Jam & J Balvin
253,Nico & Vinz
254,OMI
255,Offset & Metro Boomin
256,Omarion & Chris Brown & Jhene Aiko
257,One Direction
258,OneRepublic
259,Panic! At the Disco
260,Paramore
261,Passenger
262,Pharrell Williams
263,Pink
264,Pitbull & John Ryan
265,Pitbull & Ke$ha
266,Pitbull & Ne-Yo
267,"Portugal, The Man"
268,Post Malone
269,Post Malone & 21 Savage
270,Post Malone & Quavo
271,Post Malone & Ty Dolla Sign
272,R City & Adam Levine
273,Rachel Platten
274,Rae Sremmurd
275,Rae Sremmurd & Gucci Mane
276,Rag'n'Bone Man
277,Rich Homie Quan
278,Rich The Kid
279,Rihanna
280,Rihanna & Calvin Harris
281,Rihanna & Drake
282,Rihanna & Eminem
283,"Rihanna, Kanye West & Paul McCartney"
284,Rixton
285,Robin Schulz & Francesco Yates
286,Robin Schulz & James Blunt
287,"Robin Thicke, T.I. & Pharrell Williams"
288,Route 94 & Jess Glynne
289,"Rudimental, Jess Glynne, Macklemore & Dan Caplen"
290,Ruth B
291,Sam Hunt
292,Sam Smith
293,Selena Gomez
294,Selena Gomez & ASAP Rocky
295,Selena Gomez & Marshmello
296,Shakira & Maluma
297,Shakira & Rihanna
298,Shawn Mendes
299,Sheck Wes
300,Sia
301,Sia & Kendrick Lamar
302,Sido & Andreas Bourani
303,Sigma
304,Silento
305,Skrillex & Diplo
306,Starley
307,Stereoact & Kerstin Ott
308,T-Wayne
309,Taylor Swift
310,Taylor Swift & Kendrick Lamar
311,The Chainsmokers
312,The Chainsmokers & Coldplay
313,The Chainsmokers & Daya
314,The Chainsmokers & Halsey
315,The Chainsmokers & Rozes
316,The Weeknd
317,The Weeknd & Daft Punk
318,The Weeknd & Kendrick Lamar
319,"Tiesto, Dzeko, Preme & Post Malone"
320,Tom Walker
321,Tory Lanez
322,Tove Lo
323,Tove Lo & Hippie Sabotage
324,Travi$ Scott
325,Trey Songz
326,Twenty One Pilots
327,Tyga & Offset
328,Usher
329,Vance Joy
330,Walk the Moon
331,Wiz Khalifa & Charlie Puth
332,X Ambassadors
333,XXXTentacion
334,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj"
335,Years & Years
336,Yo Gotti & Nicki Minaj
337,Zara Larsson
338,Zara Larsson & MNEK
339,Zayn
340,Zayn & Sia
341,Zayn & Taylor Swift
342,Zedd & Alessia Cara
343,Zedd & Selena Gomez
344,"Zedd, Maren Morris & Grey"
